,Date,Low,Open,Volume,High,Close,Adjusted Close,SYMBOL
3734,03-09-2008,9.75,9.920000076293944,774100,10.140000343322754,10.079999923706056,10.079999923706056,INCY
3735,04-09-2008,9.609999656677246,10.029999732971193,957800,10.09000015258789,9.630000114440918,9.630000114440918,INCY
3736,05-09-2008,9.489999771118164,9.630000114440918,710300,10.06999969482422,9.920000076293944,9.920000076293944,INCY
3737,08-09-2008,9.81999969482422,10.100000381469727,635000,10.210000038146973,9.93000030517578,9.93000030517578,INCY
3738,09-09-2008,9.130000114440918,9.880000114440918,1328000,9.949999809265137,9.130000114440918,9.130000114440918,INCY
3739,10-09-2008,9.100000381469727,9.300000190734863,975100,9.470000267028807,9.34000015258789,9.34000015258789,INCY
3740,11-09-2008,9.020000457763672,9.18000030517578,834900,9.550000190734863,9.449999809265137,9.449999809265137,INCY
3741,12-09-2008,9.0600004196167,9.3100004196167,592800,9.43000030517578,9.170000076293944,9.170000076293944,INCY
3742,15-09-2008,8.680000305175781,9.029999732971193,817300,9.100000381469727,8.829999923706055,8.829999923706055,INCY
3743,16-09-2008,8.689999580383299,8.90999984741211,1066200,9.460000038146973,9.460000038146973,9.460000038146973,INCY
3744,17-09-2008,8.5,9.350000381469727,1526600,9.4399995803833,8.5,8.5,INCY
3745,18-09-2008,7.760000228881836,8.829999923706055,2093600,9.130000114440918,8.979999542236328,8.979999542236328,INCY
3746,19-09-2008,8.949999809265137,9.600000381469727,1918500,9.649999618530273,9.06999969482422,9.06999969482422,INCY
3747,22-09-2008,8.560000419616701,9.050000190734863,1193800,9.18000030517578,8.630000114440918,8.630000114440918,INCY
3748,23-09-2008,8.340000152587889,8.609999656677246,805800,8.779999732971191,8.590000152587889,8.590000152587889,INCY
3749,24-09-2008,7.949999809265138,8.590000152587889,1236500,8.710000038146973,7.960000038146973,7.960000038146973,INCY
3750,25-09-2008,7.690000057220459,8.020000457763674,2524700,8.300000190734862,8.020000457763674,8.020000457763674,INCY
3751,26-09-2008,7.739999771118164,7.889999866485597,1536400,8.199999809265138,7.980000019073486,7.980000019073486,INCY
3752,29-09-2008,7.510000228881836,7.8499999046325675,1630800,7.940000057220459,7.570000171661378,7.570000171661378,INCY
3753,30-09-2008,7.329999923706055,7.639999866485597,902200,7.9000000953674325,7.6500000953674325,7.6500000953674325,INCY
3754,01-10-2008,7.329999923706055,7.610000133514403,1349800,7.670000076293945,7.4099998474121085,7.4099998474121085,INCY
3755,02-10-2008,6.559999942779541,7.4000000953674325,1876600,7.480000019073486,6.619999885559082,6.619999885559082,INCY
3756,03-10-2008,6.480000019073486,6.800000190734862,2011100,6.96999979019165,6.690000057220459,6.690000057220459,INCY
3757,06-10-2008,5.3400001525878915,6.519999980926514,1956700,6.639999866485597,5.800000190734862,5.800000190734862,INCY
3758,07-10-2008,5.300000190734863,5.989999771118164,2095400,6.110000133514403,5.300000190734863,5.300000190734863,INCY
3759,08-10-2008,4.900000095367432,5.25,1697900,5.460000038146973,5.050000190734863,5.050000190734863,INCY
3760,09-10-2008,4.619999885559082,5.099999904632568,1266800,5.300000190734863,4.630000114440918,4.630000114440918,INCY
3761,10-10-2008,3.880000114440918,4.539999961853027,2117700,4.730000019073486,4.4099998474121085,4.4099998474121085,INCY
3762,13-10-2008,4.670000076293945,4.670000076293945,1126400,5.079999923706055,5.059999942779541,5.059999942779541,INCY
3763,14-10-2008,4.8400001525878915,5.25,1156500,5.400000095367432,4.989999771118164,4.989999771118164,INCY
3764,15-10-2008,4.199999809265137,5.0,1327200,5.079999923706055,4.380000114440918,4.380000114440918,INCY
3765,16-10-2008,4.199999809265137,4.429999828338623,1581800,5.010000228881836,5.0,5.0,INCY
3766,17-10-2008,4.789999961853027,4.860000133514403,1173200,5.239999771118164,4.889999866485597,4.889999866485597,INCY
3767,20-10-2008,4.949999809265137,5.019999980926514,1130100,5.71999979019165,5.710000038146973,5.710000038146973,INCY
3768,21-10-2008,5.519999980926514,5.619999885559082,911200,5.929999828338622,5.679999828338622,5.679999828338622,INCY
3769,22-10-2008,5.300000190734863,5.570000171661377,575900,5.800000190734862,5.389999866485597,5.389999866485597,INCY
3770,23-10-2008,4.639999866485597,5.420000076293945,711700,5.420000076293945,4.989999771118164,4.989999771118164,INCY
3771,24-10-2008,4.510000228881836,4.53000020980835,690600,4.75,4.630000114440918,4.630000114440918,INCY
3772,27-10-2008,3.7200000286102295,4.550000190734863,1166700,4.599999904632568,3.740000009536743,3.740000009536743,INCY
3773,28-10-2008,3.6800000667572017,3.8199999332427983,1840200,4.059999942779541,3.849999904632568,3.849999904632568,INCY
3774,29-10-2008,3.619999885559082,3.890000104904175,1416800,4.0,3.75,3.75,INCY
3775,30-10-2008,3.849999904632568,3.9300000667572017,1006300,4.2199997901916495,4.2199997901916495,4.2199997901916495,INCY
3776,31-10-2008,3.9500000476837163,4.199999809265137,930900,4.25,4.150000095367432,4.150000095367432,INCY
3777,03-11-2008,4.110000133514403,4.150000095367432,1157000,4.6599998474121085,4.349999904632568,4.349999904632568,INCY
3778,04-11-2008,4.079999923706056,4.389999866485597,981600,4.449999809265137,4.239999771118163,4.239999771118163,INCY
3779,05-11-2008,3.7999999523162837,4.150000095367432,906900,4.2800002098083505,3.8199999332427983,3.8199999332427983,INCY
3780,06-11-2008,3.75,3.920000076293945,1466100,4.059999942779541,3.990000009536743,3.990000009536743,INCY
3781,07-11-2008,3.900000095367432,4.0399999618530265,1659000,4.570000171661377,4.389999866485597,4.389999866485597,INCY
3782,10-11-2008,4.099999904632568,4.480000019073486,866600,4.630000114440918,4.130000114440918,4.130000114440918,INCY
3783,11-11-2008,3.9700000286102295,4.130000114440918,1551400,4.4099998474121085,4.130000114440918,4.130000114440918,INCY
3784,12-11-2008,3.670000076293945,4.079999923706056,830600,4.300000190734863,3.670000076293945,3.670000076293945,INCY
3785,13-11-2008,3.5999999046325684,3.6800000667572017,1145500,4.170000076293944,4.150000095367432,4.150000095367432,INCY
3786,14-11-2008,3.5899999141693115,4.0900001525878915,790200,4.0900001525878915,3.5899999141693115,3.5899999141693115,INCY
3787,17-11-2008,3.609999895095825,3.609999895095825,896100,3.900000095367432,3.660000085830689,3.660000085830689,INCY
3788,18-11-2008,3.220000028610229,3.660000085830689,964200,3.7200000286102295,3.4300000667572017,3.4300000667572017,INCY
3789,19-11-2008,3.0499999523162837,3.4100000858306885,772000,3.6800000667572017,3.0499999523162837,3.0499999523162837,INCY
3790,20-11-2008,2.3399999141693115,3.0499999523162837,2433700,3.3399999141693115,2.490000009536743,2.490000009536743,INCY
3791,21-11-2008,1.8500000238418581,2.539999961853028,2507100,2.8499999046325684,2.8199999332427983,2.8199999332427983,INCY
3792,24-11-2008,2.6700000762939453,2.9300000667572017,2239500,3.4600000381469727,2.9200000762939453,2.9200000762939453,INCY
3793,25-11-2008,2.9100000858306885,2.9600000381469727,1442100,3.1600000858306885,3.150000095367432,3.150000095367432,INCY
3794,26-11-2008,3.0899999141693115,3.0899999141693115,1393000,3.5,3.3299999237060547,3.3299999237060547,INCY
3795,28-11-2008,3.2100000381469727,3.309999942779541,357800,3.4300000667572017,3.3399999141693115,3.3399999141693115,INCY
3796,01-12-2008,2.9200000762939453,3.25,1418400,3.25,2.9300000667572017,2.9300000667572017,INCY
3797,02-12-2008,2.8399999141693115,3.0,3252400,3.1800000667572017,3.009999990463257,3.009999990463257,INCY
3798,03-12-2008,2.859999895095825,2.9300000667572017,2421600,3.3299999237060547,3.2000000476837163,3.2000000476837163,INCY
3799,04-12-2008,3.009999990463257,3.1700000762939453,1783300,3.4100000858306885,3.130000114440918,3.130000114440918,INCY
3800,05-12-2008,3.0899999141693115,3.0999999046325684,1555000,3.5899999141693115,3.5799999237060547,3.5799999237060547,INCY
3801,08-12-2008,3.359999895095825,3.650000095367432,1754700,3.650000095367432,3.619999885559082,3.619999885559082,INCY
3802,09-12-2008,3.1600000858306885,3.670000076293945,1417400,3.670000076293945,3.2100000381469727,3.2100000381469727,INCY
3803,10-12-2008,3.0899999141693115,3.5299999713897705,880400,3.5299999713897705,3.2999999523162837,3.2999999523162837,INCY
3804,11-12-2008,3.0,3.25,1391800,3.3499999046325684,3.0699999332427983,3.0699999332427983,INCY
3805,12-12-2008,2.9600000381469727,3.0,3775500,3.1600000858306885,3.0499999523162837,3.0499999523162837,INCY
3806,15-12-2008,3.0,3.0799999237060547,1075300,3.150000095367432,3.0199999809265137,3.0199999809265137,INCY
3807,16-12-2008,3.0,3.0,1114600,3.240000009536743,3.220000028610229,3.220000028610229,INCY
3808,17-12-2008,3.109999895095825,3.1800000667572017,1274100,3.470000028610229,3.359999895095825,3.359999895095825,INCY
3809,18-12-2008,3.380000114440918,3.470000028610229,1213100,3.7300000190734863,3.660000085830689,3.660000085830689,INCY
3810,19-12-2008,3.470000028610229,3.7200000286102295,3192200,3.75,3.6800000667572017,3.6800000667572017,INCY
